Date;Time;User;SensorID;SensorName;delta t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
02-Dec-2013;15:25:57;DABR          ;537189293 ;DP_19NOV;0.00;min;108.795;%a.s.;humid;26.879;deg;62067;uV;20.000;°C;989.520;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38155;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.977;V;
02-Dec-2013;15:26:02;DABR          ;537189293 ;DP_19NOV;0.08;min;108.810;%a.s.;humid;26.879;deg;61887;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38156;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.970;V;
02-Dec-2013;15:26:07;DABR          ;537189293 ;DP_19NOV;0.17;min;108.873;%a.s.;humid;26.873;deg;61880;uV;20.000;°C;989.370;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38153;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.967;V;
02-Dec-2013;15:26:12;DABR          ;537189293 ;DP_19NOV;0.25;min;108.576;%a.s.;humid;26.902;deg;61989;uV;20.000;°C;989.350;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38147;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.968;V;
02-Dec-2013;15:26:17;DABR          ;537189293 ;DP_19NOV;0.33;min;90.402;%a.s.;humid;28.870;deg;68708;uV;20.000;°C;989.390;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38138;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.967;V;
02-Dec-2013;15:26:22;DABR          ;537189293 ;DP_19NOV;0.42;min;82.323;%a.s.;humid;29.907;deg;71582;uV;20.000;°C;989.370;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38131;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.967;V;
02-Dec-2013;15:26:27;DABR          ;537189293 ;DP_19NOV;0.50;min;78.239;%a.s.;humid;30.478;deg;73437;uV;20.000;°C;989.420;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38131;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.966;V;
02-Dec-2013;15:26:32;DABR          ;537189293 ;DP_19NOV;0.58;min;74.859;%a.s.;humid;30.979;deg;75026;uV;20.000;°C;989.370;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38130;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.967;V;
02-Dec-2013;15:26:37;DABR          ;537189293 ;DP_19NOV;0.67;min;71.701;%a.s.;humid;31.471;deg;76734;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38127;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.966;V;
02-Dec-2013;15:26:42;DABR          ;537189293 ;DP_19NOV;0.75;min;68.745;%a.s.;humid;31.955;deg;78293;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38124;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.965;V;
