Measurement Name : Copepods_01_20170124       Generated On : 11/01/2018, 21:50:59
Start Date/Time: 25/01/2017, 06:11:59
End Date/Time: 29/01/2017, 04:41:49
User Comment : 0
Meas. Created By :admin
SDR Serial No. : S-547
Report : @m01:IDENTIFICATION

Serial number     : SEBX0007000547      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 090

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Parameter : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1611-01_10°C
O2_cal0 [°] : 56.13
O2_cal2nd [°] : 50.14
O2_T0 [°C] : 10.1
O2_T2nd [°C] : 10.1
O2_patm [mbar] : 980
O2_2nd [% a.s.] : 100
 
 
Date/Time;             Time/Min.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Tm [°C];   p [mbar];   Salinity [g/1000g];    T_internal [°C];    Error;
25.01.1706:12:01;       0.03;           137.05;         135.77;         129.46;         134.08;         133.03;         128.63;         133.45;         130.51;         134.93;         131.77;         129.46;         130.3;          141.52;         134.72;         130.93;         134.93;         131.35;         134.72;         135.77;         130.93;         134.5;          131.98;         135.99;         97.7;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  15.2;
25.01.1706:13:02;       1.05;           136.83;         136.2;          129.88;         134.08;         132.82;         128.83;         134.29;         131.35;         135.14;         132.19;         129.88;         130.3;          142.17;         134.93;         131.56;         135.35;         131.56;         134.72;         136.41;         131.35;         134.93;         131.98;         136.2;          97.11;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  15.02;
25.01.1706:14:02;       2.05;           136.41;         134.72;         129.04;         132.82;         131.98;         127.37;         133.87;         130.93;         134.29;         131.14;         128.42;         129.04;         141.1;          134.93;         130.51;         133.66;         130.09;         133.45;         135.77;         130.51;         133.66;         130.51;         134.93;         94.38;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  14.88;
25.01.1706:15:03;       3.07;           134.5;          133.24;         127.37;         130.93;         129.46;         125.3;          132.61;         129.04;         132.61;         128.83;         126.34;         126.96;         139.6;          133.66;         128.42;         131.56;         128.21;         131.35;         134.29;         129.67;         131.35;         128.21;         132.61;         91.66;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  14.67;
25.01.1706:16:04;       4.08;           132.4;          130.72;         125.3;          128.83;         127.58;         123.02;         130.72;         127.17;         130.72;         126.75;         124.26;         124.68;         138.11;         131.98;         126.54;         129.46;         125.92;         130.09;         132.61;         127.37;         129.25;         126.34;         130.51;         88.19;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  14.47;
25.01.1706:17:05;       5.1;            130.72;         129.67;         124.26;         127.37;         126.13;         121.79;         129.04;         125.5;          129.04;         124.68;         121.99;         121.99;         136.41;         130.51;         125.09;         127.58;         123.44;         127.79;         130.3;          124.47;         126.54;         123.64;         127.58;         85.13;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  14.22;
25.01.1706:18:06;       6.12;           129.67;         127.58;         122.4;          125.3;          123.85;         119.53;         127.58;         123.64;         127.17;         122.82;         119.73;         119.94;         134.93;         128.83;         123.23;         125.71;         121.17;         126.13;         129.04;         123.02;         124.88;         121.99;         125.71;         82.09;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  13.9;
25.01.1706:19:07;       7.13;           127.17;         125.71;         119.94;         122.82;         121.37;         117.28;         125.5;          121.37;         125.3;          120.14;         117.48;         117.69;         133.24;         126.96;         121.37;         123.64;         119.12;         124.68;         127.17;         121.37;         122.61;         119.53;         123.64;         78.87;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  13.63;
25.01.1706:20:07;       8.13;           125.5;          123.44;         118.1;          120.96;         119.53;         115.45;         124.26;         119.32;         123.23;         118.3;          115.45;         115.65;         131.14;         125.09;         119.53;         121.58;         117.28;         123.23;         125.5;          119.32;         120.35;         117.69;         121.79;         76.24;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  13.34;
25.01.1706:21:08;       9.15;           123.44;         121.17;         115.85;         118.71;         117.48;         113.22;         122.4;          117.08;         121.17;         115.85;         113.02;         113.42;         129.46;         122.61;         117.48;         119.32;         114.84;         121.37;         123.85;         117.69;         118.3;          115.45;         119.53;         73.81;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  13.06;
