Date & time of file creation	5/2/2016 5:49 PM													
Data file path	C:\Users\lab\Documents\glass squid 8&9 5-2-16.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000119      , CH 1	1	61.42	27.00	0.00	100.00	4.84	4.83	0.000						
SDWD0003000119      , CH 2	1	61.42	27.00	0.00	100.00	15.00	15.00	0.000						
SDWD0003000119      , CH 3	2	61.42	27.00	0.00	100.00	4.87	4.82	34.000						
SDWD0003000119      , CH 4	1	61.42	26.70	0.00	100.00	4.80	4.79	34.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000119      , CH 1 phase [r.U.]	SDWD0003000119      , CH 1 temp [°C]	SDWD0003000119      , CH 1 O2 [% air saturation]	SDWD0003000119      , CH 2 phase [r.U.]	SDWD0003000119      , CH 2 temp [°C]	SDWD0003000119      , CH 2 O2 [% air saturation]	SDWD0003000119      , CH 3 phase [r.U.]	SDWD0003000119      , CH 3 temp [°C]	SDWD0003000119      , CH 3 O2 [% air saturation]	SDWD0003000119      , CH 4 phase [r.U.]	SDWD0003000119      , CH 4 temp [°C]	SDWD0003000119      , CH 4 O2 [% air saturation]
5/2/2016 5:50:26 PM	3545070626	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	NaN	7.06	NaN	28.60	7.06	80.8
5/2/2016 5:50:27 PM	3545070627	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	NaN	7.05	NaN	28.69	7.05	80.2
5/2/2016 5:50:28 PM	3545070628	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	NaN	7.05	NaN	28.70	7.05	80.1
5/2/2016 5:50:29 PM	3545070629	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	NaN	7.05	NaN	28.70	7.05	80.1
