
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	% air sat	ON	SC7-548-206	3	ON External	20.000	OFF	1013	0.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	% air sat	ON	SC7-548-206	3	ON External	20.000	OFF	1013	0.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	% air sat	ON	SC7-548-206	3	ON External	20.000	OFF	1013	0.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	ON	SC7-548-206	3	ON External	20.000	OFF	1013	0.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	54.800	20.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	54.800	20.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	54.800	20.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	54.800	20.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	4/21/2016	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
4/21/2016	13:18:53	0.00		102.73	101.86	103.68	105.24	5.137	5.137	5.137	5.137	1017.55	48.608	5.137	---	---	22.257	22.358	22.148	21.969	251.833	92.854	124.052	131.004	5.454	5.633	5.455	13.199	
4/21/2016	13:18:54	1.00		102.66	101.80	103.68	105.22	5.155	5.155	5.155	5.155	1017.46	48.621	5.155	---	---	22.263	22.364	22.145	21.969	251.783	92.859	124.069	131.038	5.448	5.632	5.453	12.964	
4/21/2016	13:18:55	2.00		102.61	101.78	103.66	105.26	5.171	5.171	5.171	5.171	1017.43	48.634	5.171	---	---	22.267	22.364	22.144	21.963	251.751	92.865	124.094	131.078	5.446	5.639	5.454	12.734	
4/21/2016	13:18:56	3.00		102.58	101.83	103.57	105.19	5.176	5.176	5.176	5.176	1017.44	48.634	5.176	---	---	22.270	22.357	22.154	21.970	251.728	92.849	124.122	131.107	5.446	5.649	5.457	12.668	
4/21/2016	13:18:57	4.00		102.60	101.95	103.59	105.20	5.193	5.193	5.193	5.193	1017.51	48.634	5.193	---	---	22.265	22.341	22.150	21.967	251.795	92.831	124.125	131.144	5.455	5.650	5.456	12.716	
4/21/2016	13:18:58	5.00		102.58	101.89	103.61	105.09	5.220	5.220	5.220	5.220	1017.52	48.634	5.220	---	---	22.264	22.344	22.144	21.975	251.806	92.855	124.119	131.155	5.445	5.671	5.456	12.862	
4/21/2016	13:18:59	6.00		102.54	101.80	103.52	105.00	5.257	5.257	5.257	5.257	1017.48	48.634	5.257	---	---	22.264	22.350	22.149	21.980	251.815	92.854	124.114	131.187	5.452	5.632	5.455	13.094	
4/21/2016	13:19:00	7.00		102.46	101.69	103.37	104.84	5.276	5.276	5.276	5.276	1017.40	48.634	5.276	---	---	22.271	22.360	22.165	21.996	251.808	92.868	124.131	131.199	5.459	5.642	5.458	13.275	
4/21/2016	13:19:01	8.00		102.45	101.70	103.22	104.78	5.285	5.285	5.285	5.285	1017.35	48.634	5.285	---	---	22.271	22.358	22.181	22.002	251.847	92.834	124.151	131.234	5.462	5.635	5.459	13.298	
4/21/2016	13:19:02	9.00		102.48	101.68	103.25	104.81	5.296	5.296	5.296	5.296	1017.37	48.634	5.296	---	---	22.266	22.359	22.176	21.997	251.846	92.832	124.148	131.256	5.460	5.664	5.458	13.106	
4/21/2016	13:19:03	10.00		102.47	101.66	103.25	104.81	5.311	5.311	5.311	5.311	1017.45	48.634	5.311	---	---	22.264	22.359	22.175	21.995	251.862	92.839	124.163	131.290	5.454	5.673	5.459	12.814	
4/21/2016	13:19:04	11.00		102.43	101.56	103.23	104.78	5.333	5.333	5.333	5.333	1017.54	48.634	5.333	---	---	22.266	22.368	22.174	21.995	251.869	92.872	124.159	131.320	5.449	5.650	5.457	12.662	
4/21/2016	13:19:05	12.00		102.34	101.59	103.20	104.56	5.354	5.354	5.354	5.354	1017.60	48.634	5.354	---	---	22.274	22.362	22.175	22.018	251.900	92.893	124.179	131.348	5.451	5.641	5.454	12.793	
4/21/2016	13:19:06	13.00		102.29	101.60	103.20	104.40	5.379	5.379	5.379	5.379	1017.63	48.644	5.379	---	---	22.277	22.358	22.171	22.033	251.898	92.886	124.176	131.367	5.449	5.633	5.456	13.108	
4/21/2016	13:19:07	14.00		102.27	101.63	103.27	104.28	5.393	5.393	5.393	5.393	1017.60	48.654	5.393	---	---	22.278	22.352	22.161	22.044	251.908	92.883	124.193	131.368	5.443	5.658	5.460	13.338	
