#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#17951A
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-4Ch_1 [A] FSO2-C4 SN:2411E5085967340C Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SA6-540-222 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (∞C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (∞)	dphi 0% (∞)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (∞)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (∞C)	Humidity (%RH)	Temperature (∞C) at 0%	Partial Volume of Oxygen (%O2)
#	7/11/2024	12/31/2000	22.447468	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.584349	0.000000	-0.000303	0.000000	0.000000	fixed f	1016.521973	21.827465	72.026001	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00∞C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%air sat.) [A Ch.1 Main]	dphi (∞) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (∞C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
12-07-2024	09:13:50.797	1.016	90.516	23.448	58	0	OK	12-07-2024	09:13:50.797	1.016	23.851	OK	12-07-2024	09:13:50.797	1.016	1022	OK
12-07-2024	09:13:52.801	3.020	90.385	23.466	58	0	OK	12-07-2024	09:13:52.801	3.020	23.849	OK	12-07-2024	09:13:52.801	3.020	1022	OK
12-07-2024	09:13:54.799	5.018	90.566	23.441	58	0	OK	12-07-2024	09:13:54.799	5.018	23.851	OK	12-07-2024	09:13:54.799	5.018	1022	OK
12-07-2024	09:13:56.799	7.018	90.453	23.456	58	0	OK	12-07-2024	09:13:56.799	7.018	23.849	OK	12-07-2024	09:13:56.799	7.018	1022	OK
12-07-2024	09:13:58.819	9.038	90.355	23.469	58	0	OK	12-07-2024	09:13:58.819	9.038	23.850	OK	12-07-2024	09:13:58.819	9.038	1022	OK
12-07-2024	09:14:00.819	11.038	90.390	23.465	58	0	OK	12-07-2024	09:14:00.819	11.038	23.851	OK	12-07-2024	09:14:00.819	11.038	1022	OK
12-07-2024	09:14:02.802	13.021	90.420	23.460	58	0	OK	12-07-2024	09:14:02.802	13.021	23.851	OK	12-07-2024	09:14:02.802	13.021	1022	OK
12-07-2024	09:14:04.803	15.022	90.315	23.473	58	0	OK	12-07-2024	09:14:04.803	15.022	23.851	OK	12-07-2024	09:14:04.803	15.022	1023	OK
12-07-2024	09:14:06.804	17.023	90.395	23.464	58	0	OK	12-07-2024	09:14:06.804	17.023	23.851	OK	12-07-2024	09:14:06.804	17.023	1022	OK
12-07-2024	09:14:08.805	19.024	90.320	23.473	58	0	OK	12-07-2024	09:14:08.805	19.024	23.854	OK	12-07-2024	09:14:08.805	19.024	1022	OK
12-07-2024	09:14:10.803	21.022	90.359	23.468	58	0	OK	12-07-2024	09:14:10.803	21.022	23.853	OK	12-07-2024	09:14:10.803	21.022	1022	OK
12-07-2024	09:14:12.805	23.024	90.366	23.468	58	0	OK	12-07-2024	09:14:12.805	23.024	23.853	OK	12-07-2024	09:14:12.805	23.024	1022	OK
12-07-2024	09:14:14.805	25.024	90.350	23.470	58	0	OK	12-07-2024	09:14:14.805	25.024	23.853	OK	12-07-2024	09:14:14.805	25.024	1022	OK
12-07-2024	09:14:16.804	27.023	90.326	23.473	58	0	OK	12-07-2024	09:14:16.804	27.023	23.853	OK	12-07-2024	09:14:16.804	27.023	1022	OK
12-07-2024	09:14:18.806	29.025	90.308	23.476	58	0	OK	12-07-2024	09:14:18.806	29.025	23.852	OK	12-07-2024	09:14:18.806	29.025	1022	OK
12-07-2024	09:14:20.808	31.027	90.391	23.465	58	0	OK	12-07-2024	09:14:20.808	31.027	23.845	OK	12-07-2024	09:14:20.808	31.027	1022	OK
12-07-2024	09:14:22.810	33.029	90.335	23.472	58	0	OK	12-07-2024	09:14:22.810	33.029	23.842	OK	12-07-2024	09:14:22.810	33.029	1022	OK
12-07-2024	09:14:24.808	35.027	90.264	23.482	58	0	OK	12-07-2024	09:14:24.808	35.027	23.847	OK	12-07-2024	09:14:24.808	35.027	1022	OK
12-07-2024	09:14:26.813	37.032	90.282	23.479	58	0	OK	12-07-2024	09:14:26.813	37.032	23.842	OK	12-07-2024	09:14:26.813	37.032	1022	OK
12-07-2024	09:14:28.813	39.032	90.252	23.483	58	0	OK	12-07-2024	09:14:28.813	39.032	23.848	OK	12-07-2024	09:14:28.813	39.032	1022	OK
12-07-2024	09:14:30.812	41.031	90.278	23.479	58	0	OK	12-07-2024	09:14:30.812	41.031	23.853	OK	12-07-2024	09:14:30.812	41.031	1022	OK
12-07-2024	09:14:32.815	43.034	90.245	23.484	58	0	OK	12-07-2024	09:14:32.815	43.034	23.852	OK	12-07-2024	09:14:32.815	43.034	1022	OK
12-07-2024	09:14:34.814	45.033	90.366	23.467	58	0	OK	12-07-2024	09:14:34.814	45.033	23.853	OK	12-07-2024	09:14:34.814	45.033	1022	OK
12-07-2024	09:14:36.813	47.032	90.271	23.480	58	0	OK	12-07-2024	09:14:36.813	47.032	23.854	OK	12-07-2024	09:14:36.813	47.032	1022	OK
12-07-2024	09:14:38.815	49.034	90.243	23.484	58	0	OK	12-07-2024	09:14:38.815	49.034	23.852	OK	12-07-2024	09:14:38.815	49.034	1022	OK
12-07-2024	09:14:40.813	51.032	90.180	23.492	58	0	OK	12-07-2024	09:14:40.813	51.032	23.851	OK	12-07-2024	09:14:40.813	51.032	1022	OK
12-07-2024	09:14:42.818	53.037	90.212	23.488	58	0	OK	12-07-2024	09:14:42.818	53.037	23.851	OK	12-07-2024	09:14:42.818	53.037	1022	OK
12-07-2024	09:14:44.815	55.034	90.122	23.500	58	0	OK	12-07-2024	09:14:44.815	55.034	23.850	OK	12-07-2024	09:14:44.815	55.034	1022	OK
12-07-2024	09:14:46.815	57.034	90.100	23.503	58	0	OK	12-07-2024	09:14:46.815	57.034	23.846	OK	12-07-2024	09:14:46.815	57.034	1022	OK
12-07-2024	09:14:48.819	59.038	90.144	23.496	58	0	OK	12-07-2024	09:14:48.819	59.038	23.852	OK	12-07-2024	09:14:48.819	59.038	1022	OK
12-07-2024	09:14:50.819	61.038	90.167	23.494	58	0	OK	12-07-2024	09:14:50.819	61.038	23.847	OK	12-07-2024	09:14:50.819	61.038	1022	OK
12-07-2024	09:14:52.817	63.036	90.099	23.503	58	0	OK	12-07-2024	09:14:52.817	63.036	23.845	OK	12-07-2024	09:14:52.817	63.036	1022	OK
12-07-2024	09:14:54.820	65.039	90.147	23.497	58	0	OK	12-07-2024	09:14:54.820	65.039	23.846	OK	12-07-2024	09:14:54.820	65.039	1022	OK
12-07-2024	09:14:56.817	67.036	90.123	23.500	58	0	OK	12-07-2024	09:14:56.817	67.036	23.846	OK	12-07-2024	09:14:56.817	67.036	1022	OK
12-07-2024	09:14:58.818	69.037	90.084	23.506	58	0	OK	12-07-2024	09:14:58.818	69.037	23.841	OK	12-07-2024	09:14:58.818	69.037	1022	OK
12-07-2024	09:15:00.820	71.039	90.000	23.516	58	0	OK	12-07-2024	09:15:00.820	71.039	23.841	OK	12-07-2024	09:15:00.820	71.039	1022	OK
12-07-2024	09:15:02.820	73.039	90.046	23.511	58	0	OK	12-07-2024	09:15:02.820	73.039	23.837	OK	12-07-2024	09:15:02.820	73.039	1022	OK
12-07-2024	09:15:04.820	75.039	90.056	23.510	58	0	OK	12-07-2024	09:15:04.820	75.039	23.837	OK	12-07-2024	09:15:04.820	75.039	1022	OK
12-07-2024	09:15:06.819	77.038	90.012	23.516	58	0	OK	12-07-2024	09:15:06.819	77.038	23.838	OK	12-07-2024	09:15:06.819	77.038	1022	OK
12-07-2024	09:15:08.821	79.040	90.122	23.500	58	0	OK	12-07-2024	09:15:08.821	79.040	23.840	OK	12-07-2024	09:15:08.821	79.040	1022	OK
12-07-2024	09:15:10.821	81.040	90.062	23.509	58	0	OK	12-07-2024	09:15:10.821	81.040	23.840	OK	12-07-2024	09:15:10.821	81.040	1022	OK
12-07-2024	09:15:12.821	83.040	89.967	23.521	58	0	OK	12-07-2024	09:15:12.821	83.040	23.838	OK	12-07-2024	09:15:12.821	83.040	1022	OK
12-07-2024	09:15:14.823	85.042	90.002	23.517	58	0	OK	12-07-2024	09:15:14.823	85.042	23.841	OK	12-07-2024	09:15:14.823	85.042	1022	OK
12-07-2024	09:15:16.824	87.043	89.976	23.520	58	0	OK	12-07-2024	09:15:16.824	87.043	23.844	OK	12-07-2024	09:15:16.824	87.043	1022	OK
12-07-2024	09:15:18.824	89.043	89.931	23.526	58	0	OK	12-07-2024	09:15:18.824	89.043	23.843	OK	12-07-2024	09:15:18.824	89.043	1022	OK
12-07-2024	09:15:20.827	91.046	89.892	23.531	58	0	OK	12-07-2024	09:15:20.827	91.046	23.845	OK	12-07-2024	09:15:20.827	91.046	1022	OK
12-07-2024	09:15:22.826	93.046	89.898	23.530	58	0	OK	12-07-2024	09:15:22.826	93.046	23.848	OK	12-07-2024	09:15:22.826	93.046	1022	OK
12-07-2024	09:15:24.826	95.045	89.910	23.528	58	0	OK	12-07-2024	09:15:24.826	95.045	23.849	OK	12-07-2024	09:15:24.826	95.045	1022	OK
12-07-2024	09:15:26.825	97.044	89.997	23.517	58	0	OK	12-07-2024	09:15:26.825	97.044	23.850	OK	12-07-2024	09:15:26.825	97.044	1022	OK
12-07-2024	09:15:28.827	99.046	89.862	23.534	58	0	OK	12-07-2024	09:15:28.827	99.046	23.853	OK	12-07-2024	09:15:28.827	99.046	1022	OK
12-07-2024	09:15:30.828	101.047	89.961	23.521	58	0	OK	12-07-2024	09:15:30.828	101.047	23.854	OK	12-07-2024	09:15:30.828	101.047	1022	OK
12-07-2024	09:15:32.828	103.047	89.934	23.524	58	0	OK	12-07-2024	09:15:32.828	103.047	23.854	OK	12-07-2024	09:15:32.828	103.047	1022	OK
12-07-2024	09:15:34.829	105.048	89.880	23.531	58	0	OK	12-07-2024	09:15:34.829	105.048	23.856	OK	12-07-2024	09:15:34.829	105.048	1022	OK
12-07-2024	09:15:36.828	107.047	89.961	23.521	58	0	OK	12-07-2024	09:15:36.828	107.047	23.855	OK	12-07-2024	09:15:36.828	107.047	1022	OK
12-07-2024	09:15:38.830	109.050	89.887	23.531	58	0	OK	12-07-2024	09:15:38.830	109.050	23.854	OK	12-07-2024	09:15:38.830	109.050	1022	OK
12-07-2024	09:15:40.829	111.048	89.863	23.534	58	0	OK	12-07-2024	09:15:40.829	111.048	23.855	OK	12-07-2024	09:15:40.829	111.048	1022	OK
12-07-2024	09:15:42.829	113.048	89.868	23.533	58	0	OK	12-07-2024	09:15:42.829	113.048	23.854	OK	12-07-2024	09:15:42.829	113.048	1022	OK
12-07-2024	09:15:44.831	115.051	89.884	23.531	58	0	OK	12-07-2024	09:15:44.831	115.051	23.852	OK	12-07-2024	09:15:44.831	115.051	1022	OK
12-07-2024	09:15:46.829	117.048	89.887	23.531	58	0	OK	12-07-2024	09:15:46.829	117.048	23.853	OK	12-07-2024	09:15:46.829	117.048	1022	OK
12-07-2024	09:15:48.831	119.050	89.971	23.520	58	0	OK	12-07-2024	09:15:48.831	119.050	23.855	OK	12-07-2024	09:15:48.831	119.050	1022	OK
12-07-2024	09:15:50.832	121.051	89.913	23.527	58	0	OK	12-07-2024	09:15:50.832	121.051	23.859	OK	12-07-2024	09:15:50.832	121.051	1022	OK
12-07-2024	09:15:52.832	123.051	89.870	23.533	58	0	OK	12-07-2024	09:15:52.832	123.051	23.859	OK	12-07-2024	09:15:52.832	123.051	1022	OK
12-07-2024	09:15:54.832	125.051	89.868	23.533	58	0	OK	12-07-2024	09:15:54.832	125.051	23.856	OK	12-07-2024	09:15:54.832	125.051	1022	OK
12-07-2024	09:15:56.835	127.054	89.837	23.537	58	0	OK	12-07-2024	09:15:56.835	127.054	23.851	OK	12-07-2024	09:15:56.835	127.054	1022	OK
12-07-2024	09:15:58.835	129.054	89.824	23.540	58	0	OK	12-07-2024	09:15:58.835	129.054	23.847	OK	12-07-2024	09:15:58.835	129.054	1022	OK
12-07-2024	09:16:00.834	131.053	89.750	23.550	58	0	OK	12-07-2024	09:16:00.834	131.053	23.845	OK	12-07-2024	09:16:00.834	131.053	1022	OK
12-07-2024	09:16:02.835	133.054	89.842	23.538	58	0	OK	12-07-2024	09:16:02.835	133.054	23.842	OK	12-07-2024	09:16:02.835	133.054	1022	OK
12-07-2024	09:16:04.835	135.055	89.738	23.551	58	0	OK	12-07-2024	09:16:04.835	135.055	23.838	OK	12-07-2024	09:16:04.835	135.055	1022	OK
12-07-2024	09:16:06.835	137.054	89.788	23.546	58	0	OK	12-07-2024	09:16:06.835	137.054	23.831	OK	12-07-2024	09:16:06.835	137.054	1022	OK
12-07-2024	09:16:08.838	139.058	89.857	23.537	58	0	OK	12-07-2024	09:16:08.838	139.058	23.829	OK	12-07-2024	09:16:08.838	139.058	1022	OK
12-07-2024	09:16:10.838	141.057	89.830	23.541	58	0	OK	12-07-2024	09:16:10.838	141.057	23.829	OK	12-07-2024	09:16:10.838	141.057	1022	OK
12-07-2024	09:16:12.838	143.057	89.733	23.554	58	0	OK	12-07-2024	09:16:12.838	143.057	23.828	OK	12-07-2024	09:16:12.838	143.057	1022	OK
12-07-2024	09:16:14.840	145.059	89.793	23.546	58	0	OK	12-07-2024	09:16:14.840	145.059	23.828	OK	12-07-2024	09:16:14.840	145.059	1022	OK
12-07-2024	09:16:16.839	147.058	89.857	23.538	58	0	OK	12-07-2024	09:16:16.839	147.058	23.828	OK	12-07-2024	09:16:16.839	147.058	1022	OK
12-07-2024	09:16:18.841	149.060	89.814	23.543	58	0	OK	12-07-2024	09:16:18.841	149.060	23.826	OK	12-07-2024	09:16:18.841	149.060	1022	OK
12-07-2024	09:16:20.840	151.059	89.735	23.554	58	0	OK	12-07-2024	09:16:20.840	151.059	23.827	OK	12-07-2024	09:16:20.840	151.059	1022	OK
