#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#17951A
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-4Ch_1 [A] FSO2-C4 SN:2411E5085967340C Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00∞C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (∞C) [A T1]	Status [A T1]
12-07-2024	09:13:51.971	2.190	23.851	OK
12-07-2024	09:13:53.968	4.187	23.850	OK
12-07-2024	09:13:55.969	6.188	23.849	OK
12-07-2024	09:13:57.970	8.190	23.849	OK
12-07-2024	09:13:59.802	10.021	23.850	OK
12-07-2024	09:14:01.972	12.191	23.852	OK
12-07-2024	09:14:03.973	14.192	23.850	OK
12-07-2024	09:14:05.975	16.194	23.849	OK
12-07-2024	09:14:07.974	18.193	23.854	OK
12-07-2024	09:14:09.976	20.195	23.852	OK
12-07-2024	09:14:11.973	22.192	23.853	OK
12-07-2024	09:14:13.981	24.201	23.854	OK
12-07-2024	09:14:15.977	26.196	23.852	OK
12-07-2024	09:14:17.975	28.194	23.853	OK
12-07-2024	09:14:19.981	30.200	23.849	OK
12-07-2024	09:14:21.980	32.199	23.841	OK
12-07-2024	09:14:23.979	34.198	23.845	OK
12-07-2024	09:14:25.980	36.199	23.843	OK
12-07-2024	09:14:27.984	38.203	23.844	OK
12-07-2024	09:14:29.986	40.205	23.852	OK
12-07-2024	09:14:31.985	42.205	23.851	OK
12-07-2024	09:14:33.988	44.207	23.852	OK
12-07-2024	09:14:35.986	46.205	23.854	OK
12-07-2024	09:14:37.984	48.203	23.852	OK
12-07-2024	09:14:39.983	50.202	23.852	OK
12-07-2024	09:14:41.988	52.207	23.850	OK
12-07-2024	09:14:43.987	54.206	23.851	OK
12-07-2024	09:14:45.984	56.203	23.848	OK
12-07-2024	09:14:47.986	58.205	23.849	OK
12-07-2024	09:14:49.988	60.207	23.851	OK
12-07-2024	09:14:51.989	62.208	23.844	OK
12-07-2024	09:14:53.992	64.211	23.845	OK
12-07-2024	09:14:55.988	66.207	23.846	OK
12-07-2024	09:14:57.989	68.208	23.843	OK
12-07-2024	09:14:59.993	70.212	23.840	OK
12-07-2024	09:15:01.990	72.209	23.839	OK
12-07-2024	09:15:03.990	74.209	23.838	OK
12-07-2024	09:15:05.987	76.206	23.837	OK
12-07-2024	09:15:07.990	78.209	23.839	OK
12-07-2024	09:15:09.990	80.209	23.840	OK
12-07-2024	09:15:11.993	82.212	23.838	OK
12-07-2024	09:15:13.992	84.211	23.840	OK
12-07-2024	09:15:15.993	86.212	23.842	OK
12-07-2024	09:15:17.994	88.213	23.843	OK
